######E_MEXICO######

vassalize_dorados;Vassalize the Dorados;;;;;;;;;;;;;x
vassalize_dorados_desc;With the Mexican Empire revived, the Dorados would willingly serve a sufficiently wealthy and pious Emperor - granted their ancient rights be respected...;;;;;;;;;;;;;x

restore_mexico;Restore Mexico;;;;;;;;;;;;;x
restore_mexico_desc;If key regions of the Empire and their the caudillos be brought to heel, the world must then recognize the Mexican Empire as a dominant force and the rightful continuation of the old, antidiluvian empire.;;;;;;;;;;;;;x

EVTNAME_restore_mexican_empire;The Mexican Miracle!;;;;;;;;;;;;;x
EVTDESC_restore_mexican_empire_desc;A true relic of the past, the Mexican Empire has long claimed continuity with the ancient republic. However, centuries of mismanagement and religious strife led to the fracturing of the Empire. Many had believed that Mexico's time had finally come to an end. \n[Root.GetTitledFirstName] has proven them wrong. [Root.GetSubjectPronounCap] has brought the rogue realms of the caudillos back into the fold of the Empire and has brought a stability to the region not seen since Julián the Great. \nAlthough there is still territory left to be reclaimed and wars that have not yet been won, one thing is certain - Mexico is back.;;;;;;;;;;;;;x
EVTOPT_mexico_emperor;Sigo siendo el rey...;;;;;;;;;;;;;x
EVTOPT_mexico_emperor_culture;Yo soy mexicano, mi tierra es bravía;;;;;;;;;;;;;x
EVTOPT_mexico_emperor_nonculture;They have unleashed a tiger, let's see if they can control it.;;;;;;;;;;;;;x
EVTOPT_mexico_emperor_mesoamerican;Better to die on your feet, than live on your knees!;;;;;;;;;;;;;x

make_cdmx_capital;Make Mexico City the Capital;;;;;;;;;;;;;x
make_cdmx_capital_desc;Mexico City, the "Place in the Navel of the Moon", is the crown jewel of La República and its ancient namesake. If you so wish, you may restore it as the capital of the Mexican Empire.;;;;;;;;;x
cdmx_capital;Mexico City once more becomes the seat of imperial power.;Rome est une fois de plus la capitale du pouvoir impérial.;Rom wird einmal mehr der Sitz der kaiserlichen Macht.;;Roma vuelve a ser la sede del poder imperial.;;;;;;;;;x

######RECONQUISTA######

CB_NAME_RECONQUISTA_JALISCO;Reconquest of Jalisco;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_JALISCO;$ORDER$Reconquest War for Jalisco;;;;;;;;;;;;;x
reconquista_jalisco_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_jalisco.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_COLIMA;Reconquest of Colima;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_COLIMA;$ORDER$Reconquest War for Colima;;;;;;;;;;;;;x
reconquista_colima_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_colima.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_MICHOACAN;Reconquest of Michoacan;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_MICHOACAN;$ORDER$Reconquest War for Michoacan;;;;;;;;;;;;;x
reconquista_michoacan_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_michoacan.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_MIXTECA;Reconquest of Mixteca;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_MIXTECA;$ORDER$Reconquest War for Mixteca;;;;;;;;;;;;;x
reconquista_mixteca_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_mixteca.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_OAXACA;Reconquest of Oaxaca;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_OAXACA;$ORDER$Reconquest War for Oaxaca;;;;;;;;;;;;;x
reconquista_oaxaca_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_oaxaca.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_MEXICOAST;Reconquest of Mexican Coast;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_MEXICOAST;$ORDER$Reconquest War for Mexican Coast;;;;;;;;;;;;;x
reconquista_mexicoast_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[d_veracruz.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_MEXICO;Reconquest of Valley of Mexico;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_MEXICO;$ORDER$Reconquest War for Valley of Mexico;;;;;;;;;;;;;x
reconquista_mexico_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[d_mexico.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_BAJIO;Reconquest of Bajio;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_BAJIO;$ORDER$Reconquest War for Bajio;;;;;;;;;;;;;x
reconquista_bajio_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_bajio.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_CHICHIMECA;Reconquest of Gran Chichimeca;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_CHICHIMECA;$ORDER$Reconquest War for Gran Chichimeca;;;;;;;;;;;;;x
reconquista_chichimeca_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[k_gran_chichimeca.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x
CB_NAME_RECONQUISTA_HUASTECA;Reconquest of Huasteca and Puebla;;;;;;;;;;;;;x
WAR_NAME_RECONQUISTA_HUASTECA;$ORDER$Reconquest War for Huasteca and Puebla;;;;;;;;;;;;;x
reconquista_huasteca_desc;§Y[Root.GetTitledName]§! can start a war to oust the infidels from the region of §Y[d_huasteca.GetBaseName]§! and §Y[d_peubla.GetBaseName]§!, and retake all provinces in the area held by §Y$TARGET$§!.;;;;;;;;;;;;;x

RECONQUISTAS_STARTED;The Cristero Wars have Begun\n;;;;;;;;;;;;;x
EVTNAME_masked_knights_creation;La Orden de la Máscara;;;;;;;;;;;;;x
EVTDESC_masked_knights_creation;A new organization has formed in response to the continued encroachment of heathens and heretics onto rightful Mexican land. They call themselves La Orden de la Máscara - "The Order of the Mask" - and emulate El Santo by renouncing their identities and dawning masks to defend the innocents of Mexico against the heathen bandits. Many experienced soldiers have already joined their ranks.;;;;;;;;;;;;;x
EVTOPTA_masked_knights_creation;Viva El Santo!;;;;;;;;;;;;;x
sacredheart.200.title;Cristero Kings;;;;;;;;;;;;;x
sacredheart.200.desc;For centuries now, rightful Mexican land has been slipping away to heathenry. The Crusaders of Cristo Rey have decided to take a more active stance in the battle for the soul of Mexico, and have agreed on a new doctrine of just war to accomplish this goal. This signals a new era of large scale holy wars - a new Cristiada has begun.;;;;;;;;;;;;;x
sacredheart.200.optA;Viva Cristo Rey!;;;;;;;;;;;;;x
sacredheart.201.desc;The heroic port city of Veracruz has fallen to heathenry and the Valley of Mexico itself is now vulnerable to conquest. In response, the Crusaders of Cristo Rey have decided to take a more active stance in the battle for the soul of Mexico, and have agreed on a new doctrine of just war to accomplish this goal. This signals a new era of large scale holy wars - a new Cristiada has begun.;;;;;;;;;;;;;x
sacredheart.202.desc;The great city of Mexico has fallen to heathenry, marking the lowest point in the history of the Empire. In response, the Crusaders of Cristo Rey have resolved to retake the entire Mexican Empire by any means necessary, and have agreed on a new doctrine of just war to accomplish this goal. This signals a new era of large scale holy wars - a new Cristiada has begun.;;;;;;;;;;;;;x
sacredheart.203.desc;The Mexican Empire has been crumbling from within to those who do not believe in the power of Christ and his Saints. In response, the Crusaders of Cristo Rey have decided to take a more active stance against heathen, and have agreed on a new doctrine of just war to accomplish this goal. This signals a new era of large scale holy wars - a new Cristiada has begun.;;;;;;;;;;;;;x

prepare_reconquista_desc;Start preparing a campaign against the heathens within Mexico, to claim parts of the Mexican Empire for the Virgin. A large undertaking like this can usually only be done once a lifetime.;;;;;;;;;;;;;x
reconquista_beneficiary_self_desc;Find a fitting dynasty member to become a beneficiary for my conquests in Mexico.;;;;;;;;;;;;;x
reconquista_beneficiary_other_desc;Set §Y[Root.GetTitledName]§! as a beneficiary for my conquests in Mexico.;;;;;;;;;;;;;x
remove_reconquista_beneficiary_other_desc;§Y[Root.GetTitledName]§! will no longer be my beneficiary for my conquests in Mexico.;;;;;;;;;;;;;x
christian_mercenary_against_reconquista_mercenary_side_desc;I can sell my services against the other Saint Cultists for a sum of money, if §Y[Root.GetTitledName]§! is willing to pay.;;;;;;;;;;;;;x
christian_mercenary_against_reconquista_defender_side_desc;I can ask §Y[Root.GetTitledName]§! for help against the other Saint Cultist invaders, in return for a small sum of money.;;;;;;;;;;;;;x

reconquista_cid_bloodline;Chapulín blood of [Root.GetFirstName];;;;;;;;;;;;;x
reconquista_cid_bloodline_desc;Known for both fighting against and helping the heathens throughout the Cristiada, as one of the greatest generals of our times.;;;;;;;;;;;;;x
reconquista_bloodline;Cristero Blood of [Root.GetFirstName];;;;;;;;;;;;;x
reconquista_bloodline_desc;Known for being one of the most important characters in the new Cristiada.;;;;;;;;;;;;;x

EVTDESC_HF_49207;It seems I have waited too long, as my men and all my preparation starts to come apart. It seems people lost faith in my plans, when I did not start any wars for the soul of Mexico.;;;;;;;;;;;;;x
EVTDESC_HF_49212;Magnanimous [Root.GetTitledName]\n\nYour plans to claim Mexico for the Virgin inspires me to take up arms as well, and I will support your efforts to the best of my ability.\n\nYour ally,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC_HF_49220;After leading troops on both sides of the wars raging throughout the Empire of Mexico, I seem to have grown quite the reputation among the local peasants and soldiers on both sides.\n\nThough some would consider me a chapulín - or grasshopper - that changes sides when the opportunity strikes, my prowess in war has made me a hero among most, and revered among the populace. Some would even go as far as to call me a folk hero.\n\nSurely, my actions must have been righteous, seeing all the responses. I have often wondered if it would all be worth it in the end, and it is a joyous occasion to see all my hard work has paid off.;;;;;;;;;;;;;x
EVTTITLE_HF_49221;The Hero Cristero;;;;;;;;;;;;;x
EVTDESC_HF_49221;I have fought for the faith several times these recent years, to claim the Empire of Mexico as a true vanguard for the Virgin and her followers.\n\nThough Mexico was once a bastion of decadent practices by those who had reasserted their ancient heathen beliefs in the chaos after the Event, we have once again united them in the name of Cristo Rey. Step by step, we have regained what is rightfully ours.\n\nThe Empire of Mexico will once again be independent of invaders, united in principles, and under the Blessed Virgin. We will make sure of it.;;;;;;;;;;;;;x
EVTDESC_HF_49232;To the greedy [Root.GetTitledName]\n\nYour despicable offer disgusts me. I hope to see you at the battlefield next, so I can cut you down together with the rest of the heathens.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC_HF_49233;[Root.GetTitledName]\n\nYour prowess in war is well known throughout Mexico, and I would like to offer your a sum of gold for your services in the current Cristero War.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC_HF_49241;There will probably be men showing up to fight for the faith in the upcoming wars for Mexico, but I could invest some money into spreading the message far and wide to attract more well trained troops.;;;;;;;;;;;;;x
EVTDESC_HF_49249;A year has passed since I started my preparations for the Cristiada, and I am sure that whoever wanted to take part would have arrived by now. Now all that remains is to find a place to point my newfound allies towards.;;;;;;;;;;;;;x

EVTTITLE_HF_49450;The Cristiada;;;;;;;;;;;;;x
EVTDESC_HF_49450;As the last in a long line of attempts to try to reassert the authority of the Empire of Mexico under Cristo Rey, [From.GetTitledName] has begun preparing [From.GetHerHis] troops and looking for allies for a new Mexican campaign. Trying to restore Mexico to the Blessed Virgin, [From.GetTitledFirstName] has spent a noticeable amount of resources and sent out a call to gather troops from all around the region.\n\nWith the Cristeros planning for war, the other faiths have started assembling their troops to defend themselves. It is only a matter of months, or maybe a year, before the two sides will clash together once more, desperately trying to claw their way to more land in Mexico.;;;;;;;;;;;;;x
EVTOPTA_HF_49450;Viva Cristo Rey!;;;;;;;;;;;;;x
EVTOPTB_HF_49450;The Christian rabble does not belong here.;;;;;;;;;;;;;x
EVTTITLE_HF_49451;Rise of Mexico;;;;;;;;;;;;;x
EVTDESC_HF_49451;With the rise of the [e_mexico.GetFullName], the Empire of Mexico has once again come under total control of the [From.Religion.GetGroupName]. There was a long struggle between the different faiths occupying the region, but the [From.Religion.GetGroupName] believers have finally conquered their adversaries.\n\nWith the struggle of the two sides finally put to rest, Mexico can finally start looking forward to a peaceful future, free of the religious wars that have raged through on now for centuries.;;;;;;;;;;;;;x
EVTOPTA_HF_49451;Mexico will be the center of our faith.;;;;;;;;;;;;;x
EVTTITLE_HF_49452;End of the Cristiada;;;;;;;;;;;;;x
EVTDESC_HF_49452;Not even the isthmus of Tehuantepec has been safe from the Cristero conquest of Mexico. The final bastions of the other faiths in the region has fallen, now only the followers of the Virgin are left.\n\nWith Mexico finally restored to the faithful, the disunity of the empire has ended, and peace has been restored. Once more the center of the faith, Mexico will surely play an important role in the region.;;;;;;;;;;;;;x
EVTDESC_HF_49462;A minor noble has launched a campaign to start gathering troops to conquer parts of Mexico for the Blessed Virgin. [From.GetTitledFirstName] asks for my help in supporting [From.GetHerHim], and taking part in [From.GetHerHim] conquests. This is a great opportunity to drive the heathenry from Mexico.;;;;;;;;;;;;;x

######SACRED_HEART######

sacredheart.1;The Patrons of El Sagrado Corazón;;;;;;;;;;;;;x
EVTDESC_Sacredheart_1;Followers of the faith of the Sacred Heart- Sagrado Corazón- all adhere to one general creed, but tend to favor a devotion to one specific saint within the Sacred Heart's pantheon. Although such devotions are often chosen early in life, it's not unheard of for a person to change their devotion later on.;;;;;;;;;;;;;x
EVTOPTA_sacredheart_1;I shall follow El Santo, the masked patron of justice and strength;;;;;;;;;;;;;x
EVTOPTC_sacredheart_1;Nuestra Señora, the Virgin of Guadalupe and mother of Mexico, is my patroness;;;;;;;;;;;;;x
EVTOPTB_sacredheart_1;I pray to Santa Muerte for a safe delivery to the Afterlife.;;;;;;;;;;;;;x

EVTDESC_muerte_inform;Your [GetFromRelation] [From.GetTitledFirstName] has entered into the realm of [Root.Religion.GetRandomGodName]. As a follower of Santa Muerte, [From.GetPossPronoun] death leaves you with certain responsibilities. You are expected to be involved in the funeral rites, which will ensure safe passage of [From.GetPossPronoun] soul as well as protecting those left behind.;;;;;;;;;;;;x
EVTOPT_muerte_inform_revenge;I swear vengeance on [From.GetPossPronoun] killer!;;;;;;;;;;;;x
TXT_muerte_revenge;This option is available because you know who killed your [GetFromRelation], and Santa Muerte will calm your mind and guide you to exacting your revenge.\n\n;;;;;;;;;;;;x
EVTOPT_muerte_inform_guide;La Santísima guides [From.GetPossPronoun] soul to heaven.;;;;;;;;;;;;x
EVTOPT_muerte_inform_protect;La Santísima protects and watches over all of us.;;;;;;;;;;;;x
