###ÄNSI###

adult_baptism_event;Become Baptized;;;;;;;;;;;;;x
adult_baptism_event_desc;Become baptized in the faith.;;;;;;;;;;;;;x
TXT_baptism_events;Become baptized in the faith.;;;;;;;;;;;;;x

EVTDESCbaptism_events.1;Every believer should be baptized, but only when they are able to make a conscious profession of faith. As is customary for those of the [This.Religion.GetName], you may now be baptized in the name of Jesus Christ. Do you accept Him as your Lord and Savior?;;;;;;;;;;;;;x
EVTOPTAbaptism_events.1;I accept Jesus as my Lord and Savior.;;;;;;;;;;;;;x
EVTOPTBbaptism_events.1;Yes.;;;;;;;;;;;;;x
EVTOPTCbaptism_events.1;No.;;;;;;;;;;;;;x

adult_baptized;Baptized as a Believer;;;;;;;;;;;;;x
adult_baptized_desc;This character has received a believer’s baptism.;;;;;;;;;;;;;x
adult_converted;Forcefully Converted;;;;;;;;;;;;;x
adult_converted_desc;This character has been forcefully converted to the faith.;;;;;;;;;;;;;x
recently_force_converted;Rough Conversion;;;;;;;;;;;;;x
recently_force_converted_desc;This person has been cut in order to keep God's covenant in accordance to Navegante rites.;;;;;;;;;;;;;x
force_baptism;Force Conversion;;;;;;;;;;;;;x
force_baptism_desc;Forcefully baptize this person into the faith.;;;;;;;;;;;;;x
opinion_converted_me;Forcefully Converted Me;;;;;;;;;;;;;x
opinion_converted_family;Forcefully Converted Kin;;;;;;;;;;;;;x
opinion_converted_close_kin;Forcefully Converted Close Kin;;;;;;;;;;;;;x

EVTDESC_navigant_3A;LEVEL_1_DESC;;;;;;;;;;;;;x
EVTOPTA_navigant_3;REPONSE_FROM_NAVI;;;;;;;;;;;;;x
EVTDESC_navigant_3B;LEVEL_2_DESC;;;;;;;;;;;;;x
EVTOPTB_navigant_3;REPONSE_FROM_NAVI;;;;;;;;;;;;;x
EVTDESC_navigant_3C;LEVEL_3_DESC;;;;;;;;;;;;;x
EVTOPTC_navigant_3;REPONSE_FROM_NAVI;;;;;;;;;;;;;x
EVTDESC_navigant_3D;LEVEL_4_EARN_BLOODLINE_DESC;;;;;;;;;;;;;x
EVTOPTD_navigant_3;REPONSE_FROM_NAVI;;;;;;;;;;;;;x

EVTDESC_navigant_4;DESC_FOR_PRISONER_FORCE_CONVERTED;;;;;;;;;;;;;x
EVTOPTA_navigant_4;RESPNSE_FOR_PRISONER;;;;;;;;;;;;;x

levita;XXXXXXXXXXXXXX;;;;;;;;;;;;;x
levita_desc;XXXXXXXXXXXXXX;;;;;;;;;;;;;x
aaronita;XXXXXXXXXXXXXX;;;;;;;;;;;;;x
aaronita_desc;XXXXXXXXXXXXXX;;;;;;;;;;;;;x
melquisedequita;XXXXXXXXXXXXXX;;;;;;;;;;;;;x
melquisedequita_desc;XXXXXXXXXXXXXX;;;;;;;;;;;;;x
